AS8452 23.50.192.0/20
AS24863 41.67.64.0/18
AS24835 23.218.228.0/22
AS36992 41.64.0.0/16
AS20928 41.187.0.0/16
AS31619 84.205.96.0/19
AS6879 195.43.0.0/21
AS37437 41.79.208.0/24
AS37191 41.78.20.0/22
AS31065 41.179.244.0/24
AS8524 213.181.224.0/24
AS6127 41.128.132.0/22
AS37193 164.160.64.0/22
AS37031 41.217.224.0/21
AS33778 196.201.24.0/21
AS30995 41.223.240.0/24
AS25576 41.218.128.0/19
AS25364 81.29.96.0/23
AS37664 196.10.97.0/24
AS37585 41.128.192.0/24
AS37444 196.43.237.0/24
AS37348 196.216.240.0/23
AS37270 196.43.198.0/24
AS37252 196.223.16.0/23
AS37226 196.46.29.0/24
AS37112 163.121.166.0/24
AS36978 196.3.14.0/23
AS36906 196.216.140.0/23
AS36885 81.21.101.0/24
AS36870 196.22.5.0/24
AS328067 164.160.104.0/22
AS2561 193.227.0.0/23
AS201398 149.91.13.0/24
AS15475 41.64.0.0/15
AS37583 196.6.185.0/24
AS37562 196.6.120.0/24
AS37339 196.43.219.0/24
AS37279 196.43.201.0/24
AS37091 196.216.246.0/24
AS37069 41.91.192.0/22
AS37066 41.191.80.0/22
AS37003 196.12.11.0/24
AS36990 41.223.196.0/22
AS36935 41.206.128.0/19
AS36929 196.1.143.0/24
AS36893 196.221.0.0/19
AS33785 41.77.136.0/21
AS33782 196.204.128.0/18
AS33777 196.2.193.0/24
AS328052 196.41.83.0/24
AS327846 196.216.206.0/24
AS327838 196.10.120.0/24
AS30993 41.191.24.0/24
AS20484 41.209.192.0/22
AS15804 212.12.225.0/24
