AS133703 103.41.10.0/24
AS133700 103.40.60.0/22
AS133699 103.40.200.0/23
AS133692 103.47.216.0/22
AS133683 103.35.164.0/23
AS133669 103.43.252.0/24
AS133668 45.124.96.0/23
AS133667 43.226.24.0/24
AS133665 103.43.65.0/24
AS133659 103.42.188.0/24
AS133657 103.41.11.0/24
AS133656 103.40.207.0/24
AS133655 103.41.44.0/22
AS133651 103.43.40.0/22
AS133649 103.44.104.0/22
AS133647 14.102.17.0/24
AS133643 103.41.168.0/24
AS133597 103.38.4.0/23
AS133589 103.38.128.0/24
AS133427 103.227.56.0/22
AS133412 199.229.208.0/24
AS133319 103.233.24.0/23
AS133314 103.235.156.0/24
AS133313 103.238.192.0/24
AS133309 103.43.36.0/24
AS133305 103.49.120.0/24
AS133300 103.72.216.0/22
AS133297 43.251.80.0/23
AS133293 43.225.0.0/22
AS133292 103.227.0.0/24
AS133288 103.228.50.0/23
AS133287 103.211.108.0/22
AS133281 103.228.249.0/24
AS133279 103.56.68.0/24
AS133278 27.123.248.0/22
AS133273 103.36.84.0/22
AS133266 103.239.124.0/24
AS133261 103.238.152.0/22
AS133260 103.234.162.0/24
AS133259 103.238.11.0/24
AS133249 103.233.216.0/23
AS133236 103.231.222.0/23
AS133233 103.230.166.0/24
AS133227 103.75.196.0/22
AS133225 103.207.60.0/22
AS133222 45.114.224.0/22
AS133082 103.255.80.0/23
AS133011 103.253.168.0/24
AS133003 45.117.45.0/24
AS133002 103.251.184.0/24
AS133000 45.126.252.0/24
AS132999 103.77.14.0/24
AS132996 43.243.212.0/22
AS132995 103.243.237.0/24
AS132993 45.119.134.0/24
AS132990 45.120.37.0/24
AS132984 103.241.244.0/22
AS132978 103.252.47.0/24
AS132975 43.241.25.0/24
AS132963 103.254.240.0/24
AS132962 103.56.175.0/24
AS132961 103.224.36.0/24
AS132955 103.76.4.0/22
AS132947 103.232.172.0/22
AS132945 45.65.52.0/22
AS132938 103.209.27.0/24
AS132934 45.120.124.0/22
AS132931 45.65.36.0/22
AS132927 103.76.166.0/23
AS132924 103.59.132.0/22
AS132911 103.27.120.0/24
AS132871 103.26.168.0/24
AS132860 103.41.215.0/24
AS132784 103.250.10.0/23
AS132781 103.250.30.0/24
AS132780 103.27.8.0/22
AS132778 43.224.180.0/22
AS132776 103.26.169.0/24
AS132773 103.26.111.0/24
AS132769 103.77.26.0/23
AS132759 103.249.76.0/22
AS132752 103.77.20.0/22
AS132747 103.25.4.0/22
AS132613 103.16.221.0/24
AS132571 103.19.217.0/24
AS132568 45.120.16.0/23
AS132562 103.16.104.0/22
AS132561 43.247.28.0/24
AS132547 36.255.228.0/22
AS132519 103.245.32.0/22
AS132518 103.18.152.0/24
AS132477 103.30.195.0/24
AS132441 103.21.67.0/24
AS132387 103.15.248.0/23
AS132349 103.13.219.0/24
AS132338 103.12.245.0/24
AS132303 103.14.46.0/24
AS132282 103.14.2.0/24
AS132234 103.8.215.0/24
AS132175 103.6.167.0/24
AS132166 103.6.132.0/22
AS132144 103.6.2.0/24
AS132122 43.241.244.0/24
AS132090 103.70.132.0/24
AS132065 202.165.62.0/24
AS131993 103.10.249.0/24
AS131463 103.225.224.0/22
AS131263 103.245.21.0/24
AS131226 103.37.200.0/23
AS10239 203.132.130.0/23
AS10199 14.141.140.0/24
AS10077 123.136.134.0/24
AS59194 112.133.218.0/24
